headcount,eventtype,eventcategory,budget,venuecategory,budgetallocation,venue
817,codetalkspanels,talkspanels,1814000,exhibitionhall,"venue:32,speakers:22,food:23,av:18,marketing:14",BMICH
187,designcompetitionshackathons,competitionshackathons,243000,auditorium,"venue:21,speakers:11,prizes:27,food:20,av:17,marketing:7",SLIIT
791,techcareernetworking,careernetworking,5494000,exhibitionhall,"venue:28,speakers:19,food:21,av:15,marketing:12",Shangri-La
635,codecareernetworking,careernetworking,1852000,exhibitionhall,"venue:31,speakers:23,food:23,av:18,marketing:18",BMICH
164,aitalkspanels,talkspanels,70000,auditorium,"venue:29,speakers:18,food:23,av:18,marketing:13",UCSC
184,aiconferencesexpos,conferencesexpos,434000,coworkingspace,"venue:36,speakers:23,food:9,av:13,marketing:12,logistics:3",Hatch
472,codeconferencesexpos,conferencesexpos,3292000,exhibitionhall,"venue:37,speakers:28,food:10,av:18,marketing:12,logistics:3",Shangri-La
121,codecareernetworking,careernetworking,207000,coworkingspace,"venue:29,speakers:21,food:19,av:18,marketing:13",Trace Expert City
84,aitalkspanels,talkspanels,124000,coworkingspace,"venue:29,speakers:20,food:23,av:12,marketing:16",Gamers HQ
192,designtalkspanels,talkspanels,241000,auditorium,"venue:32,speakers:19,food:21,av:13,marketing:13",SLIIT
642,designcompetitionshackathons,competitionshackathons,457000,openspace,"venue:18,speakers:12,prizes:32,food:17,av:12,marketing:2",Galle Face
83,techcompetitionshackathons,competitionshackathons,313000,openspace,"venue:22,speakers:7,prizes:28,food:23,av:15,marketing:2",Colombo Innovation Tower
142,techcompetitionshackathons,competitionshackathons,201000,auditorium,"venue:18,speakers:8,prizes:27,food:21,av:17,marketing:8",SLIIT
225,techworkshopstraining,workshopstraining,8000,auditorium,"venue:24,speakers:32,equipment:15,food:12,av:17,marketing:4",Virtusa
529,aitalkspanels,talkspanels,459000,auditorium,"venue:28,speakers:20,food:18,av:16,marketing:17",NSBM
435,techtalkspanels,talkspanels,1643000,openspace,"venue:27,speakers:23,food:22,av:14,marketing:17",Galadari
95,aitalkspanels,talkspanels,290000,coworkingspace,"venue:30,speakers:21,food:20,av:13,marketing:14",Hatch
1148,techtalkspanels,talkspanels,1224000,openspace,"venue:30,speakers:22,food:17,av:17,marketing:13",Galle Face
126,techworkshopstraining,workshopstraining,42000,auditorium,"venue:27,speakers:29,equipment:18,food:7,av:13,marketing:3",Virtusa
150,codecareernetworking,careernetworking,169000,auditorium,"venue:32,speakers:17,food:20,av:15,marketing:13",SLIIT
170,codeworkshopstraining,workshopstraining,210000,auditorium,"venue:27,speakers:29,equipment:15,food:7,av:13,marketing:2",SLIIT
501,aiconferencesexpos,conferencesexpos,516000,auditorium,"venue:35,speakers:23,food:9,av:16,marketing:9,logistics:2",NSBM
149,aimeetupscommunity,meetupscommunity,0,auditorium,"venue:32,food:26,av:9,marketing:12,logistics:25",Virtusa
66,techtalkspanels,talkspanels,255000,openspace,"venue:28,speakers:18,food:22,av:14,marketing:18",Colombo Innovation Tower
218,techmeetupscommunity,meetupscommunity,96000,auditorium,"venue:33,food:22,av:11,marketing:9,logistics:24",Virtusa
661,aicompetitionshackathons,competitionshackathons,1953000,exhibitionhall,"venue:19,speakers:8,prizes:30,food:23,av:12,marketing:3",BMICH
107,codeconferencesexpos,conferencesexpos,57000,auditorium,"venue:33,speakers:24,food:7,av:15,marketing:13,logistics:4",UCSC
245,aitalkspanels,talkspanels,403000,coworkingspace,"venue:28,speakers:21,food:23,av:13,marketing:12",Trace Expert City
36,techcompetitionshackathons,competitionshackathons,52000,coworkingspace,"venue:23,speakers:11,prizes:32,food:22,av:12,marketing:5",Gamers HQ
1528,designmeetupscommunity,meetupscommunity,798000,openspace,"venue:29,food:26,av:11,marketing:10,logistics:22",Galle Face
145,techcompetitionshackathons,competitionshackathons,186000,auditorium,"venue:19,speakers:10,prizes:29,food:20,av:18,marketing:3",SLIIT
282,codetalkspanels,talkspanels,568000,coworkingspace,"venue:33,speakers:22,food:18,av:13,marketing:13",Trace Expert City
1133,aiworkshopstraining,workshopstraining,811000,openspace,"venue:22,speakers:29,equipment:14,food:8,av:12,marketing:8",Galle Face
239,codecompetitionshackathons,competitionshackathons,49000,auditorium,"venue:17,speakers:9,prizes:31,food:23,av:17,marketing:6",Virtusa
312,designtalkspanels,talkspanels,363000,auditorium,"venue:32,speakers:21,food:23,av:12,marketing:16",NSBM
247,techtalkspanels,talkspanels,412000,coworkingspace,"venue:33,speakers:19,food:18,av:13,marketing:16",Trace Expert City
203,aiworkshopstraining,workshopstraining,517000,openspace,"venue:24,speakers:33,equipment:14,food:9,av:12,marketing:2",Galadari
74,techcompetitionshackathons,competitionshackathons,213000,openspace,"venue:18,speakers:9,prizes:32,food:22,av:16,marketing:6",Colombo Innovation Tower
45,techmeetupscommunity,meetupscommunity,84000,studio,"venue:33,food:26,av:7,marketing:9,logistics:27",AOD
1439,codecompetitionshackathons,competitionshackathons,2494000,exhibitionhall,"venue:23,speakers:7,prizes:32,food:23,av:12,marketing:3",BMICH
48,techcareernetworking,careernetworking,70000,coworkingspace,"venue:27,speakers:19,food:21,av:17,marketing:18",Gamers HQ
112,techcompetitionshackathons,competitionshackathons,380000,openspace,"venue:17,speakers:8,prizes:32,food:18,av:16,marketing:4",Colombo Innovation Tower
1403,techcareernetworking,careernetworking,1033000,openspace,"venue:32,speakers:17,food:20,av:15,marketing:12",Galle Face
51,aicompetitionshackathons,competitionshackathons,147000,studio,"venue:21,speakers:10,prizes:33,food:19,av:14,marketing:7",AOD
293,codeworkshopstraining,workshopstraining,738000,openspace,"venue:25,speakers:28,equipment:17,food:7,av:16,marketing:5",Galadari
1686,designconferencesexpos,conferencesexpos,1894000,openspace,"venue:32,speakers:25,food:10,av:12,marketing:7,logistics:7",Galle Face
95,codeworkshopstraining,workshopstraining,53000,auditorium,"venue:23,speakers:27,equipment:12,food:10,av:13,marketing:5",UCSC
129,designmeetupscommunity,meetupscommunity,346000,coworkingspace,"venue:33,food:25,av:8,marketing:10,logistics:23",Hatch
199,techworkshopstraining,workshopstraining,428000,coworkingspace,"venue:25,speakers:32,equipment:13,food:12,av:18,marketing:4",Trace Expert City
431,codecompetitionshackathons,competitionshackathons,551000,auditorium,"venue:19,speakers:8,prizes:29,food:22,av:15,marketing:3",NSBM
540,designmeetupscommunity,meetupscommunity,2940000,exhibitionhall,"venue:29,food:28,av:13,marketing:9,logistics:22",Shangri-La
505,aiconferencesexpos,conferencesexpos,398000,openspace,"venue:33,speakers:26,food:7,av:12,marketing:8,logistics:6",Galle Face
83,aiworkshopstraining,workshopstraining,120000,coworkingspace,"venue:25,speakers:27,equipment:12,food:11,av:15,marketing:5",Gamers HQ
1886,aiconferencesexpos,conferencesexpos,2024000,openspace,"venue:36,speakers:26,food:8,av:18,marketing:10,logistics:4",Galle Face
74,techmeetupscommunity,meetupscommunity,48000,auditorium,"venue:27,food:28,av:12,marketing:10,logistics:26",UCSC
388,aitalkspanels,talkspanels,1240000,openspace,"venue:28,speakers:17,food:21,av:13,marketing:12",Galadari
126,designcompetitionshackathons,competitionshackathons,412000,openspace,"venue:22,speakers:7,prizes:28,food:22,av:17,marketing:6",Colombo Innovation Tower
33,designcareernetworking,careernetworking,64000,coworkingspace,"venue:28,speakers:21,food:22,av:16,marketing:13",Gamers HQ
163,aimeetupscommunity,meetupscommunity,488000,coworkingspace,"venue:30,food:23,av:8,marketing:9,logistics:23",Hatch
131,aiworkshopstraining,workshopstraining,374000,openspace,"venue:27,speakers:29,equipment:12,food:10,av:17,marketing:3",Colombo Innovation Tower
1347,techworkshopstraining,workshopstraining,3190000,exhibitionhall,"venue:24,speakers:27,equipment:18,food:7,av:14,marketing:4",BMICH
105,codecareernetworking,careernetworking,182000,coworkingspace,"venue:30,speakers:22,food:23,av:14,marketing:12",Trace Expert City
135,aimeetupscommunity,meetupscommunity,274000,coworkingspace,"venue:29,food:28,av:8,marketing:11,logistics:23",Trace Expert City
1156,aicareernetworking,careernetworking,4843000,openspace,"venue:29,speakers:17,food:22,av:13,marketing:15",Nelum Pokuna
180,designworkshopstraining,workshopstraining,4000,auditorium,"venue:25,speakers:27,equipment:18,food:9,av:13,marketing:4",Virtusa
1466,aitalkspanels,talkspanels,2779000,exhibitionhall,"venue:27,speakers:22,food:22,av:13,marketing:13",BMICH
67,aimeetupscommunity,meetupscommunity,22000,auditorium,"venue:27,food:28,av:11,marketing:11,logistics:23",UCSC
243,techworkshopstraining,workshopstraining,321000,auditorium,"venue:23,speakers:33,equipment:18,food:7,av:14,marketing:8",SLIIT
169,codeconferencesexpos,conferencesexpos,472000,coworkingspace,"venue:33,speakers:24,food:8,av:15,marketing:9,logistics:4",Hatch
48,aitalkspanels,talkspanels,94000,coworkingspace,"venue:30,speakers:18,food:19,av:14,marketing:14",Gamers HQ
367,designworkshopstraining,workshopstraining,550000,auditorium,"venue:27,speakers:27,equipment:17,food:13,av:17,marketing:4",SLIIT
791,codemeetupscommunity,meetupscommunity,561000,openspace,"venue:28,food:24,av:8,marketing:9,logistics:27",Galle Face
147,techconferencesexpos,conferencesexpos,554000,openspace,"venue:38,speakers:27,food:11,av:16,marketing:9,logistics:3",Colombo Innovation Tower
788,designtalkspanels,talkspanels,5362000,exhibitionhall,"venue:32,speakers:17,food:23,av:16,marketing:14",Shangri-La
660,aimeetupscommunity,meetupscommunity,4436000,exhibitionhall,"venue:28,food:23,av:7,marketing:11,logistics:23",Shangri-La
1500,codecompetitionshackathons,competitionshackathons,914000,openspace,"venue:20,speakers:13,prizes:31,food:23,av:13,marketing:6",Galle Face
60,codemeetupscommunity,meetupscommunity,97000,studio,"venue:29,food:27,av:11,marketing:10,logistics:28",AOD
443,designconferencesexpos,conferencesexpos,1371000,openspace,"venue:37,speakers:25,food:13,av:12,marketing:13,logistics:3",Galadari
193,techworkshopstraining,workshopstraining,51000,auditorium,"venue:24,speakers:31,equipment:13,food:13,av:14,marketing:5",Virtusa
343,codeconferencesexpos,conferencesexpos,1022000,openspace,"venue:38,speakers:26,food:7,av:18,marketing:11,logistics:6",Galadari
556,techmeetupscommunity,meetupscommunity,3160000,exhibitionhall,"venue:29,food:22,av:13,marketing:13,logistics:23",Shangri-La
544,aiconferencesexpos,conferencesexpos,754000,auditorium,"venue:34,speakers:22,food:12,av:16,marketing:11,logistics:7",NSBM
50,techcompetitionshackathons,competitionshackathons,125000,studio,"venue:22,speakers:10,prizes:32,food:22,av:17,marketing:8",AOD
310,designcareernetworking,careernetworking,869000,openspace,"venue:29,speakers:17,food:20,av:12,marketing:15",Galadari
105,codeconferencesexpos,conferencesexpos,351000,coworkingspace,"venue:37,speakers:23,food:12,av:17,marketing:12,logistics:5",Hatch
180,aiworkshopstraining,workshopstraining,345000,coworkingspace,"venue:22,speakers:29,equipment:13,food:7,av:17,marketing:3",Trace Expert City
142,designconferencesexpos,conferencesexpos,427000,coworkingspace,"venue:32,speakers:25,food:12,av:16,marketing:13,logistics:2",Hatch
219,aicareernetworking,careernetworking,82000,auditorium,"venue:31,speakers:20,food:20,av:12,marketing:12",Virtusa
583,aiworkshopstraining,workshopstraining,2415000,openspace,"venue:22,speakers:31,equipment:16,food:8,av:13,marketing:7",Nelum Pokuna
1432,designcareernetworking,careernetworking,1243000,openspace,"venue:31,speakers:22,food:19,av:18,marketing:13",Galle Face
54,aicareernetworking,careernetworking,23000,auditorium,"venue:32,speakers:20,food:23,av:18,marketing:14",UCSC
249,techcompetitionshackathons,competitionshackathons,727000,openspace,"venue:23,speakers:11,prizes:30,food:21,av:12,marketing:7",Galadari
1072,techcompetitionshackathons,competitionshackathons,4826000,openspace,"venue:20,speakers:7,prizes:28,food:20,av:16,marketing:7",Nelum Pokuna
205,designworkshopstraining,workshopstraining,276000,auditorium,"venue:23,speakers:32,equipment:16,food:12,av:14,marketing:6",NSBM
704,designtalkspanels,talkspanels,604000,openspace,"venue:27,speakers:19,food:18,av:16,marketing:13",Galle Face
216,techcompetitionshackathons,competitionshackathons,5000,auditorium,"venue:19,speakers:9,prizes:28,food:17,av:16,marketing:8",Virtusa
119,designconferencesexpos,conferencesexpos,214000,studio,"venue:38,speakers:28,food:7,av:13,marketing:10,logistics:8",AOD
954,designcompetitionshackathons,competitionshackathons,706000,openspace,"venue:19,speakers:8,prizes:28,food:17,av:16,marketing:3",Galle Face
69,designtalkspanels,talkspanels,27000,auditorium,"venue:28,speakers:17,food:22,av:17,marketing:15",UCSC
1268,designcareernetworking,careernetworking,3324000,exhibitionhall,"venue:27,speakers:21,food:20,av:18,marketing:16",BMICH
691,designmeetupscommunity,meetupscommunity,1246000,exhibitionhall,"venue:27,food:22,av:12,marketing:11,logistics:28",BMICH
65,techcompetitionshackathons,competitionshackathons,243000,openspace,"venue:20,speakers:13,prizes:31,food:20,av:14,marketing:8",Colombo Innovation Tower
49,aitalkspanels,talkspanels,147000,studio,"venue:29,speakers:20,food:18,av:18,marketing:12",AOD
1006,techworkshopstraining,workshopstraining,2389000,exhibitionhall,"venue:27,speakers:27,equipment:14,food:11,av:18,marketing:4",BMICH
132,aicareernetworking,careernetworking,54000,auditorium,"venue:31,speakers:21,food:17,av:14,marketing:15",UCSC
202,aicompetitionshackathons,competitionshackathons,237000,auditorium,"venue:17,speakers:11,prizes:30,food:22,av:13,marketing:4",SLIIT
199,codeconferencesexpos,conferencesexpos,511000,coworkingspace,"venue:32,speakers:23,food:12,av:15,marketing:12,logistics:6",Hatch
317,designworkshopstraining,workshopstraining,2184000,exhibitionhall,"venue:23,speakers:27,equipment:14,food:8,av:13,marketing:7",Shangri-La
453,designcareernetworking,careernetworking,488000,auditorium,"venue:30,speakers:18,food:22,av:15,marketing:12",NSBM
132,designmeetupscommunity,meetupscommunity,487000,openspace,"venue:29,food:24,av:11,marketing:11,logistics:25",Colombo Innovation Tower
576,aicompetitionshackathons,competitionshackathons,693000,auditorium,"venue:19,speakers:13,prizes:33,food:22,av:17,marketing:5",NSBM
87,techcareernetworking,careernetworking,229000,coworkingspace,"venue:28,speakers:17,food:23,av:13,marketing:13",Hatch
941,aicompetitionshackathons,competitionshackathons,3899000,openspace,"venue:19,speakers:13,prizes:32,food:22,av:14,marketing:6",Nelum Pokuna
1109,codemeetupscommunity,meetupscommunity,3626000,openspace,"venue:33,food:24,av:8,marketing:11,logistics:28",Nelum Pokuna
538,techworkshopstraining,workshopstraining,3062000,exhibitionhall,"venue:28,speakers:32,equipment:14,food:12,av:13,marketing:7",Shangri-La
66,techconferencesexpos,conferencesexpos,107000,coworkingspace,"venue:36,speakers:25,food:7,av:16,marketing:10,logistics:5",Gamers HQ
181,aicompetitionshackathons,competitionshackathons,1000,auditorium,"venue:22,speakers:7,prizes:33,food:23,av:12,marketing:4",Virtusa
880,codecompetitionshackathons,competitionshackathons,2583000,exhibitionhall,"venue:21,speakers:8,prizes:28,food:18,av:18,marketing:7",BMICH
224,techmeetupscommunity,meetupscommunity,261000,auditorium,"venue:27,food:22,av:8,marketing:9,logistics:28",NSBM
350,codetalkspanels,talkspanels,1096000,openspace,"venue:33,speakers:23,food:18,av:17,marketing:16",Galadari
381,techworkshopstraining,workshopstraining,397000,auditorium,"venue:24,speakers:28,equipment:16,food:13,av:14,marketing:7",SLIIT
660,codecompetitionshackathons,competitionshackathons,4298000,exhibitionhall,"venue:18,speakers:12,prizes:32,food:22,av:15,marketing:3",Shangri-La
670,aiworkshopstraining,workshopstraining,3247000,exhibitionhall,"venue:25,speakers:33,equipment:12,food:10,av:14,marketing:7",Shangri-La
1085,codecareernetworking,careernetworking,5108000,openspace,"venue:33,speakers:18,food:21,av:13,marketing:12",Nelum Pokuna
207,designconferencesexpos,conferencesexpos,440000,coworkingspace,"venue:33,speakers:25,food:8,av:16,marketing:12,logistics:8",Trace Expert City
294,designworkshopstraining,workshopstraining,378000,auditorium,"venue:23,speakers:32,equipment:18,food:13,av:15,marketing:8",SLIIT
64,codeworkshopstraining,workshopstraining,39000,auditorium,"venue:23,speakers:33,equipment:12,food:13,av:16,marketing:2",UCSC
366,designmeetupscommunity,meetupscommunity,470000,auditorium,"venue:31,food:22,av:8,marketing:11,logistics:24",SLIIT
1388,codecareernetworking,careernetworking,959000,openspace,"venue:29,speakers:19,food:23,av:17,marketing:15",Galle Face
240,designtalkspanels,talkspanels,81000,auditorium,"venue:29,speakers:17,food:18,av:13,marketing:12",Virtusa
284,aiworkshopstraining,workshopstraining,391000,coworkingspace,"venue:23,speakers:27,equipment:17,food:8,av:13,marketing:4",Trace Expert City
178,designworkshopstraining,workshopstraining,416000,coworkingspace,"venue:27,speakers:31,equipment:18,food:12,av:12,marketing:3",Hatch
166,aimeetupscommunity,meetupscommunity,276000,coworkingspace,"venue:30,food:27,av:13,marketing:9,logistics:22",Trace Expert City
1097,designcompetitionshackathons,competitionshackathons,2390000,exhibitionhall,"venue:20,speakers:10,prizes:27,food:18,av:16,marketing:8",BMICH
178,techworkshopstraining,workshopstraining,105000,auditorium,"venue:24,speakers:27,equipment:14,food:7,av:15,marketing:8",UCSC
165,designcompetitionshackathons,competitionshackathons,314000,coworkingspace,"venue:21,speakers:11,prizes:32,food:17,av:17,marketing:6",Trace Expert City
221,designcareernetworking,careernetworking,339000,auditorium,"venue:31,speakers:18,food:22,av:15,marketing:13",SLIIT
60,aitalkspanels,talkspanels,135000,coworkingspace,"venue:33,speakers:22,food:22,av:14,marketing:13",Hatch
191,techtalkspanels,talkspanels,657000,coworkingspace,"venue:27,speakers:20,food:22,av:16,marketing:14",Hatch
117,aitalkspanels,talkspanels,28000,auditorium,"venue:33,speakers:20,food:21,av:16,marketing:13",Virtusa
87,techconferencesexpos,conferencesexpos,252000,studio,"venue:38,speakers:24,food:11,av:15,marketing:10,logistics:4",AOD
272,codetalkspanels,talkspanels,964000,openspace,"venue:33,speakers:19,food:18,av:16,marketing:15",Galadari
57,aiconferencesexpos,conferencesexpos,114000,coworkingspace,"venue:37,speakers:27,food:11,av:15,marketing:7,logistics:4",Gamers HQ
775,designtalkspanels,talkspanels,1751000,exhibitionhall,"venue:30,speakers:21,food:22,av:13,marketing:16",BMICH
1902,aimeetupscommunity,meetupscommunity,1564000,openspace,"venue:31,food:25,av:11,marketing:8,logistics:25",Galle Face
337,designmeetupscommunity,meetupscommunity,1017000,openspace,"venue:30,food:23,av:9,marketing:8,logistics:27",Galadari
80,aiconferencesexpos,conferencesexpos,251000,openspace,"venue:32,speakers:27,food:13,av:16,marketing:12,logistics:3",Colombo Innovation Tower
92,designtalkspanels,talkspanels,166000,coworkingspace,"venue:32,speakers:21,food:22,av:17,marketing:14",Gamers HQ
932,codeconferencesexpos,conferencesexpos,1520000,exhibitionhall,"venue:33,speakers:22,food:10,av:17,marketing:10,logistics:6",BMICH
687,aiworkshopstraining,workshopstraining,1890000,exhibitionhall,"venue:27,speakers:30,equipment:14,food:9,av:13,marketing:7",BMICH
397,aitalkspanels,talkspanels,1044000,openspace,"venue:31,speakers:18,food:23,av:12,marketing:18",Galadari
125,aicompetitionshackathons,competitionshackathons,332000,coworkingspace,"venue:21,speakers:9,prizes:28,food:18,av:14,marketing:8",Hatch
170,codetalkspanels,talkspanels,414000,coworkingspace,"venue:27,speakers:23,food:22,av:13,marketing:14",Hatch
1828,codecareernetworking,careernetworking,1125000,openspace,"venue:28,speakers:17,food:23,av:17,marketing:12",Galle Face
83,codecompetitionshackathons,competitionshackathons,231000,studio,"venue:21,speakers:12,prizes:28,food:22,av:16,marketing:2",AOD
238,techworkshopstraining,workshopstraining,444000,coworkingspace,"venue:28,speakers:28,equipment:17,food:8,av:16,marketing:6",Trace Expert City
646,codeconferencesexpos,conferencesexpos,380000,openspace,"venue:33,speakers:27,food:7,av:15,marketing:7,logistics:4",Galle Face
1320,aicompetitionshackathons,competitionshackathons,1512000,openspace,"venue:20,speakers:10,prizes:30,food:22,av:15,marketing:3",Galle Face
1165,techconferencesexpos,conferencesexpos,4505000,openspace,"venue:35,speakers:22,food:11,av:15,marketing:10,logistics:6",Nelum Pokuna
81,aitalkspanels,talkspanels,261000,openspace,"venue:29,speakers:18,food:23,av:13,marketing:15",Colombo Innovation Tower
161,codecareernetworking,careernetworking,307000,coworkingspace,"venue:27,speakers:18,food:20,av:15,marketing:12",Trace Expert City
178,techworkshopstraining,workshopstraining,21000,auditorium,"venue:26,speakers:30,equipment:14,food:11,av:12,marketing:2",Virtusa
978,codemeetupscommunity,meetupscommunity,1924000,exhibitionhall,"venue:31,food:23,av:10,marketing:10,logistics:22",BMICH
118,techworkshopstraining,workshopstraining,321000,openspace,"venue:22,speakers:29,equipment:14,food:10,av:17,marketing:3",Colombo Innovation Tower
753,codetalkspanels,talkspanels,2150000,exhibitionhall,"venue:29,speakers:18,food:23,av:18,marketing:17",BMICH
190,codecompetitionshackathons,competitionshackathons,584000,coworkingspace,"venue:19,speakers:11,prizes:33,food:23,av:17,marketing:4",Hatch
717,codetalkspanels,talkspanels,3144000,openspace,"venue:29,speakers:18,food:22,av:12,marketing:15",Nelum Pokuna
1151,techconferencesexpos,conferencesexpos,4405000,openspace,"venue:38,speakers:28,food:12,av:18,marketing:12,logistics:3",Nelum Pokuna
151,codecareernetworking,careernetworking,506000,coworkingspace,"venue:30,speakers:23,food:21,av:17,marketing:18",Hatch
73,aicareernetworking,careernetworking,105000,coworkingspace,"venue:31,speakers:20,food:21,av:17,marketing:14",Gamers HQ
676,aiworkshopstraining,workshopstraining,507000,openspace,"venue:27,speakers:28,equipment:16,food:11,av:13,marketing:5",Galle Face
643,techcompetitionshackathons,competitionshackathons,322000,openspace,"venue:19,speakers:13,prizes:31,food:21,av:12,marketing:2",Galle Face
1401,codeworkshopstraining,workshopstraining,3563000,exhibitionhall,"venue:27,speakers:27,equipment:14,food:9,av:12,marketing:8",BMICH
121,aicareernetworking,careernetworking,331000,openspace,"venue:27,speakers:18,food:18,av:18,marketing:12",Colombo Innovation Tower
226,aicompetitionshackathons,competitionshackathons,812000,openspace,"venue:17,speakers:9,prizes:31,food:18,av:14,marketing:8",Galadari
242,aiworkshopstraining,workshopstraining,506000,coworkingspace,"venue:28,speakers:29,equipment:15,food:12,av:15,marketing:2",Trace Expert City
250,aicareernetworking,careernetworking,241000,auditorium,"venue:31,speakers:22,food:18,av:17,marketing:13",NSBM
456,techcompetitionshackathons,competitionshackathons,1243000,openspace,"venue:22,speakers:9,prizes:30,food:18,av:16,marketing:7",Galadari
1401,aiconferencesexpos,conferencesexpos,708000,openspace,"venue:34,speakers:26,food:9,av:15,marketing:13,logistics:8",Galle Face
208,codetalkspanels,talkspanels,71000,auditorium,"venue:33,speakers:20,food:17,av:12,marketing:16",Virtusa
214,aicompetitionshackathons,competitionshackathons,332000,auditorium,"venue:22,speakers:8,prizes:33,food:23,av:14,marketing:4",SLIIT
72,aimeetupscommunity,meetupscommunity,141000,coworkingspace,"venue:29,food:26,av:10,marketing:8,logistics:22",Gamers HQ
56,techcompetitionshackathons,competitionshackathons,92000,studio,"venue:22,speakers:9,prizes:32,food:18,av:12,marketing:8",AOD
150,aitalkspanels,talkspanels,54000,auditorium,"venue:30,speakers:20,food:17,av:13,marketing:12",Virtusa
192,designworkshopstraining,workshopstraining,254000,coworkingspace,"venue:26,speakers:28,equipment:14,food:12,av:16,marketing:2",Trace Expert City
510,designmeetupscommunity,meetupscommunity,1118000,exhibitionhall,"venue:28,food:23,av:11,marketing:10,logistics:27",BMICH
89,techmeetupscommunity,meetupscommunity,266000,openspace,"venue:29,food:28,av:12,marketing:9,logistics:24",Colombo Innovation Tower
157,techcareernetworking,careernetworking,173000,auditorium,"venue:27,speakers:23,food:20,av:16,marketing:12",SLIIT
145,aitalkspanels,talkspanels,58000,auditorium,"venue:27,speakers:21,food:19,av:17,marketing:14",UCSC
378,designtalkspanels,talkspanels,1424000,openspace,"venue:33,speakers:21,food:21,av:14,marketing:18",Galadari
263,techmeetupscommunity,meetupscommunity,440000,coworkingspace,"venue:28,food:22,av:13,marketing:9,logistics:22",Trace Expert City
302,techconferencesexpos,conferencesexpos,460000,auditorium,"venue:36,speakers:26,food:12,av:17,marketing:12,logistics:6",SLIIT
520,techworkshopstraining,workshopstraining,2560000,exhibitionhall,"venue:24,speakers:30,equipment:12,food:8,av:17,marketing:7",Shangri-La
182,codemeetupscommunity,meetupscommunity,313000,coworkingspace,"venue:28,food:28,av:10,marketing:9,logistics:23",Trace Expert City
102,designconferencesexpos,conferencesexpos,277000,coworkingspace,"venue:38,speakers:22,food:11,av:15,marketing:9,logistics:4",Hatch
460,codetalkspanels,talkspanels,538000,auditorium,"venue:33,speakers:17,food:17,av:16,marketing:15",NSBM
142,techtalkspanels,talkspanels,289000,coworkingspace,"venue:31,speakers:21,food:19,av:15,marketing:17",Trace Expert City
714,techcompetitionshackathons,competitionshackathons,690000,openspace,"venue:17,speakers:11,prizes:32,food:17,av:13,marketing:4",Galle Face
64,aiworkshopstraining,workshopstraining,98000,coworkingspace,"venue:23,speakers:33,equipment:17,food:13,av:15,marketing:6",Gamers HQ
142,aiworkshopstraining,workshopstraining,196000,coworkingspace,"venue:23,speakers:29,equipment:15,food:9,av:13,marketing:6",Trace Expert City
61,designtalkspanels,talkspanels,183000,openspace,"venue:28,speakers:17,food:20,av:17,marketing:17",Colombo Innovation Tower
471,designcareernetworking,careernetworking,1482000,openspace,"venue:33,speakers:19,food:18,av:16,marketing:15",Galadari
67,designcompetitionshackathons,competitionshackathons,112000,coworkingspace,"venue:19,speakers:7,prizes:33,food:21,av:16,marketing:7",Gamers HQ
1873,codemeetupscommunity,meetupscommunity,1457000,openspace,"venue:32,food:28,av:12,marketing:7,logistics:23",Galle Face
83,aiworkshopstraining,workshopstraining,130000,studio,"venue:22,speakers:31,equipment:13,food:11,av:17,marketing:8",AOD
105,techconferencesexpos,conferencesexpos,278000,studio,"venue:36,speakers:24,food:7,av:15,marketing:7,logistics:2",AOD
145,designtalkspanels,talkspanels,574000,openspace,"venue:30,speakers:17,food:20,av:12,marketing:12",Colombo Innovation Tower
121,aiworkshopstraining,workshopstraining,193000,coworkingspace,"venue:28,speakers:27,equipment:17,food:12,av:17,marketing:4",Trace Expert City
515,aimeetupscommunity,meetupscommunity,717000,auditorium,"venue:31,food:26,av:8,marketing:12,logistics:28",NSBM
95,codeconferencesexpos,conferencesexpos,136000,coworkingspace,"venue:34,speakers:22,food:12,av:13,marketing:10,logistics:7",Gamers HQ
616,codetalkspanels,talkspanels,2553000,openspace,"venue:33,speakers:21,food:22,av:17,marketing:14",Nelum Pokuna
229,designcompetitionshackathons,competitionshackathons,357000,auditorium,"venue:19,speakers:7,prizes:28,food:22,av:13,marketing:5",SLIIT
59,designcareernetworking,careernetworking,133000,coworkingspace,"venue:32,speakers:18,food:23,av:17,marketing:16",Hatch
307,codetalkspanels,talkspanels,277000,auditorium,"venue:32,speakers:23,food:22,av:18,marketing:17",SLIIT
52,techcareernetworking,careernetworking,59000,coworkingspace,"venue:33,speakers:19,food:18,av:17,marketing:13",Gamers HQ
103,techmeetupscommunity,meetupscommunity,364000,openspace,"venue:32,food:23,av:13,marketing:7,logistics:28",Colombo Innovation Tower
77,aicareernetworking,careernetworking,152000,coworkingspace,"venue:32,speakers:21,food:19,av:14,marketing:17",Gamers HQ
179,designtalkspanels,talkspanels,530000,coworkingspace,"venue:27,speakers:19,food:17,av:18,marketing:12",Hatch
188,codecareernetworking,careernetworking,471000,coworkingspace,"venue:31,speakers:23,food:22,av:13,marketing:14",Hatch
83,designcareernetworking,careernetworking,104000,coworkingspace,"venue:33,speakers:22,food:20,av:15,marketing:17",Gamers HQ
194,aiworkshopstraining,workshopstraining,326000,coworkingspace,"venue:27,speakers:30,equipment:13,food:7,av:18,marketing:4",Trace Expert City
